ID,Site Name,Forest,County,"Elevation(Feet)",Latitude,Longitude,"Township,Range,Section,Meridian",USGS 7.5 min. map,Photographer,Taken On,imgOriginal,imgRecreated
1,Abbot Bu,Deschutes,"Jefferson, OR",4329,44.557845,121.708621,T12S_R9E_S6_WM,"Candle Creek, OR",COOPER-ARNST,9/11/1933,,
2,Abbott Bu,Umpqua,"Douglas, OR",6128,42.943015,122.549276,T30S_R2E_S23_WM,"Abbott Butte, OR",SARLIN-BIRCHALL,7/24/1933,,
3,Abert,Fremont,"Lake, OR",7543,42.388345,120.23402,T37S_R21E_S3_WM,"Little Honey Creek, OR",RITTENHOUSE,7/5/1933,,
4,Acker Rk,Umpqua,"Douglas, OR",4110,43.05196,122.646124,T29S_R1E_S13_WM,"Acker Rock, OR",MOE-COOPER,8/9/1933,,
5,Adams Mtn,Umpqua,"Lane, OR",4955,43.62015,122.722105,T22S_R1E_S32_WM,"Fairview Peak, OR",RITTENHOUSE,3/8/1934,,
6,Aenaes Mtn,Chelan,"Okanogan, WA",5160,48.742925,119.622028,T38N_R26E_S31_WM,"Aeneas Lake, WA",R.L.C.,9/9/1934,,
7,Agency Bu,Rogue River,"Klamath, OR",5038,42.63926,121.935361,T34S_R7E_S7_WM,"Fort Klamath, OR",COOPER,8/26/1933,,
8,Aker,Wallowa,"Wallowa, OR",4448,45.71422,117.572093,T3N_R42E_S28_WM,"Akers Butte, OR",ARNST,8/14/1935,,
9,Aldrich,Mt. Hood,"Skamania, WA",1141,45.65315,121.979566,T2N_R7E_S17_WM,"Bonneville Dam, WA",REINHARDT,7/7/1941,,
10,Aldrich,Malheur,"Grant, OR",6987,44.377095,119.450504,T14S_R27E_S11_WM,"Aldrich Mountain North, OR",OSBORNE,9/23/1935,,
11,Alpine Mtn,Wenatchee,"Chelan, WA",6237,47.811885,120.865338,T27N_R16E_S28_WM,"Lake Wenatchee, WA",R.L.C.,8/25/1934,,
12,American Rg,Snoqualmie,"Yakima, WA",7473,46.939267,121.264587,T17N_R13E_S30_WM,"Goose Prairie, WA",G.B.C.,7/22/1934,,
13,Anderson Bu,Rogue River,"Jackson, OR",5915,42.201915,122.896964,T39S_R2W_S2_WM,"Sterling Creek, OR",RITTENHOUSE,5/4/1934,,
14,Anderson Bu,Mt. Baker,"Whatcom, WA",5400,48.673115,121.601521,T37N_R9E_S23_WM,"Bacon Peak, WA",WERNSTEDT,9/6/1935,,
15,Anderson Camp,Umpqua,"Douglas, OR",5469,42.97798,122.477823,T30S_R3E_S9_WM,"Union Creek, OR",RITTENHOUSE,5/10/1934,,
16,Ant Hill,Umatilla,"Grant, OR",4602,44.87244,119.567863,T8S_R26E_S13_WM,"Bologna Basin, OR",ARNST,7/19/1935,,
17,Antelope Mtn,Malheur,"Grant, OR",6456,44.04235,118.419289,T17S_R35E_S33_WM,"Knox Mountain, OR",OSBORNE,9/21/1935,,
18,Anthony Bu,Whitman,"Union, OR",6805,45.04711,118.227974,T6S_R37E_S18_WM,"Anthony Butte, OR",_,9/28/1935,,
19,Anvil Rk,Snoqualmie,"Pierce, WA",9584,46.829295,121.725095,T16N_R9E_S_WM,"Mount Rainier East, WA",G.B.C.,8/8/1934,,
20,Arbuckle Mtn,Umatilla,"Morrow, OR",5827,45.189505,119.254739,T4S_R29E_S30_WM,"Arbuckle Mountain, OR",ARNST,7/22/1935,,
21,Arch Rk,Snoqualmie,"Pierce, WA",5903,47.036945,121.40322,T18N_R11E_S22_WM,"Noble Knob, WA",J.D.R.,8/16/1934,,
22,Aschoff Bu,Mt. Hood,"Clackamas, OR",3803,45.421475,121.992662,T2S_R7E_S6_WM,"Hickman Butte, OR",RITTENHOUSE,6/20/1934,,
23,Ashland Mtn,Rogue River,"Jackson, OR",7533,42.08035,122.716464,T40S_R1E_S21_WM,"Mount Ashland, OR",RITTENHOUSE-SNYDER,7/15/1933,,
24,Bachelor Mtn,Willamette,"Linn, OR",5953,44.62818,122.012532,T11S_R6E_S12_WM,"Idanha, OR",COOPER,5/13/1934,,
25,Bachelor Bu,Deschutes,"Deschutes, OR",9065,43.9788,121.688012,T18S_R9E_S31_WM,"Mount Bachelor, OR",_,8/1/1929,,
26,Bacon Pt,Mt. Baker,"Skagit, WA",1710,48.603495,121.380285,T36N_R11E_S16_WM,"Marblemount, WA",WERNSTEDT,7/20/1935,,
27,Badger Bu,Mt. Hood,"Hood River, OR",5981,45.29395,121.551912,T3S_R10E_S21_WM,"Badger Lake, OR",SNYDER-MOE,11/6/1933,,
28,Badger Pk,Gifford Pinchot,"Skamania, WA",5664,46.283225,121.894142,T9N_R7E_S2_WM,"French Butte, WA",_,1/1/1929,,
29,Baker Pt,Tillamook Burn,"Columbia, OR",1875,45.905195,123.104441,T5N_R3W_S19_WM,"Baker Point, OR",S.L.M.,7/29/1936,,
30,Baker Whs,Whitman,"Baker, OR",3411,44.791068,117.844927,T9S_R40E_S17_WM,"Baker City, OR",ARNST,10/20/1935,,
31,Bald Bu,Mt. Hood,"Hood River, OR",3779,45.53586,121.531807,T1N_R10E_S26_WM,"Parkdale, OR",COOPER,6/25/1934,,
32,Bald Bu,Fremont,"Lake, OR",7536,42.614355,120.78969,T34S_R16E_S14_WM,"Lee Thomas Crossing, OR",ARNST,5/17/1934,,
33,Bald Bu,Ochoco,"Harney, OR",5920,43.683145,119.367998,T22S_R28E_S9_WM,"Holmes Canyon, OR",R.L.C.,10/25/1934,,
34,Bald Knob,Siskiyou,"Coos, OR",3630,42.69327,124.039447,T33S_R11W_S30_WM,"Illahe, OR",SNYDER,4/12/1934,,
35,Bald Knob,Wallowa,"Wallowa, OR",6529,45.43771,117.590226,T1S_R42E_S32_WM,"Fox Point, OR",ARNST,8/23/1935,,
36,Bald Mtn,ODFNW,"Polk, OR",3232,44.79693,123.543151,T9S_R7W_S9_WM,"Fanno Ridge, OR",S.L.M.,6/30/1936,,
37,Bald Mtn,Mt. Hood,"Hood River, OR",4591,45.402185,121.775938,T2S_R8E_S13_WM,"Bull Run Lake, OR",J.D.R,6/25/1934,,
38,Bald Mtn,Siuslaw,"Yamhill, OR",3057,45.28035,123.458503,T3S_R6W_S29_WM,"Trask Mountain, OR",_,4/9/1934,,
39,Bald Mtn,Siskiyou,"Josephine, OR",3978,42.438565,123.912748,T36S_R10W_S17_WM,"Silver Peak, OR",SARLIN,4/26/1934,,
40,Bald Mtn,Rogue River,"Jackson, OR",5200,42.80366,122.548652,T32S_R2E_S11_WM,"Whetstone Point, OR",COOPER-BIRCHALL,7/25/1933,,
41,Bald Mtn,Fremont,"Lake, OR",7393,43.27418,121.355198,T26S_R11E_S36_WM,"Wickiup Spring, OR",BIRCHALL,8/7/1933,,
42,Bald Mtn,Gifford Pinchot,"Kittitas, WA",5898,46.96718,120.952463,T17N_R15E_S15_WM,"Manastash Lake, WA",_,1/1/1929,,
43,Bald Mtn,Snoqualmie,"Kittitas, WA",5898,46.96718,120.952463,T17N_R15E_S15_WM,"Manastash Lake, WA",G.B.C.,7/18/1934,,
44,Bald Mtn. Little,Snoqualmie,"Yakima, WA",6108,46.90253,121.16672,T16N_R13E_S2_WM,"Old Scab Mountain, WA",G.B.C.,7/17/1934,,
45,Bald Peter,Willamette,"Linn, OR",4079,44.49652,122.576428,T12S_R2E_S28_WM,"Green Peter, OR",COOPER-MOE,8/1/1933,,
46,Bald Peter,Deschutes,"Jefferson, OR",6574,44.656415,121.69258,T10S_R9E_S32_WM,"Lionshead, OR",SARLIN-ARNST,6/17/1934,,
47,Bald Ridge,Siskiyou,"Curry, OR",2410,42.716956,123.810757,T33S_R9W_S7_WM,"Kelsey Peak, OR",COOPER,4/20/1934,,
48,Baldy Mtn,Ochoco,"Wheeler, OR",5755,44.671513,119.97049,T10S_R23E_S28_WM,"Richmond, OR",_,7/14/1937,,
49,Baldy Mtn,Whitman,"Grant, OR",7610,44.3933,118.446559,T13S_R35E_S36_WM,"Deardorff Mountain, OR",ARNST,10/16/1935,,
50,Baldy Mtn. So,Ochoco,"Wheeler, OR",5892,44.65675,119.971186,T10S_R23E_S33_WM,"Richmond, OR",_,7/14/1937,,
51,Balloon Tree,Umatilla,"Union, OR",5019,45.72626,117.980572,T3N_R39E_S19_WM,"Partridge Creek, OR",ARNST,8/2/1935,,
52,Bally Mtn,Umatilla,"Union, OR",4716,45.289655,118.573779,T3S_R34E_S20_WM,"Bally Mountain, OR",ARNST,7/26/1935,,
53,Balm Mtn,Willamette,"Douglas, OR",6129,43.379923,122.421486,T25S_R3E_S23_WM,"Toketee Falls, OR",_,8/16/1938,,
54,Bare Mtn,Snoqualmie,"King, WA",5353,47.64925,121.507135,T25N_R10E_S15_WM,"Mount Phelps, WA",J.D.R.,8/24/1934,,
55,Barklow Mtn,Siskiyou,"Curry, OR",3579,42.750665,124.163116,T32S_R12W_S31_WM,"Barklow Mountain, OR",SNYDER,4/5/1934,,
56,Barlow Bu,Mt. Hood,"Hood River, OR",5069,45.27544,121.668184,T3S_R9E_S28_WM,"Mount Hood South, OR",SNYDER-RITTENHOUSE,11/7/1933,,
57,Barlow Pt,Mt. Baker,"Snohomish, WA",3222,48.036474,121.44324,T30N_R11E_S31_WM,"Bedal, WA",CLISBY,7/30/1935,,
58,Basalt Pk,Wenatchee,"Chelan, WA",6004,47.976085,120.747707,T29N_R17E_S29_WM,"Chikamin Creek, WA",_,7/28/1936,,
59,Basin Pt,Mt. Hood,"Clackamas, OR",6440,45.1805,121.765864,T4S_R8E_S36_WM,"Wolf Peak, OR",SNYDER,3/23/1934,,
60,Bateman,Umpqua,"Douglas, OR",2322,43.424655,123.667258,T25S_R8W_S5_WM,"Kelly Butte, OR",RITTENHOUSE,7/29/1936,,
61,Battle Axe,Willamette,"Marion, OR",5558,44.826355,122.139179,T9S_R5E_S1_WM,"Battle Ax, OR",BIRCHALL-ARNST,10/2/1933,,
62,Battle Mtn,Umpqua,"Jackson, OR",3982,42.641615,123.113718,T34S_R4W_S1_WM,"Skeleton Mountain, OR",SNYDER-ARNST,5/10/1934,,
63,Baty Bu,Mt. Hood,"Clackamas, OR",5040,44.99565,122.200509,T6S_R5E_S33_WM,"Bagby Hot Springs, OR",SARLIN,7/3/1934,,
64,Baughman Pt,Umpqua,"Douglas, OR",2806,43.265915,123.608986,T26S_R8W_S35_WM,"Callahan, OR",RITTENHOUSE,6/10/1934,,
65,Bear Bones,Willamette,"Lane, OR",4910,43.543675,122.514079,T23S_R2E_S25_WM,"Bearbones Mountain, OR",BIRCHALL,8/26/1933,,
66,Bear Camp,Siskiyou,"Curry, OR",4973,42.631915,123.831043,T34S_R10W_S12_WM,"Hobson Horn, OR",SNYDER,5/9/1934,,
67,Bear Cr. Mtn,Snoqualmie,"Yakima, WA",7336,46.52756,121.344346,T12N_R12E_S17_WM,"Pinegrass Ridge, WA",R.R.S.,7/24/1934,,
68,Bear Mtn,Fremont,"Klamath, OR",5527,43.099775,121.415016,T28S_R11E_S33_WM,"Bear Butte, OR",BIRCHALL,8/6/1933,,
69,Bear Pt,Willamette,"Marion, OR",6043,44.749835,121.849217,T9S_R8E_S32_WM,"Olallie Butte, OR",COOPER,5/23/1934,,
70,Bear Wallows,Siskiyou,"Curry, OR",2385,42.100995,124.017856,T40S_R11W_S8_WM,"Fourth of July Creek, OR",_,6/27/1937,,
71,Bearhead,Snoqualmie,"Pierce, WA",6089,47.023525,121.815418,T18N_R8E_S29_WM,"Bearhead Mountain, WA",G.B.C.,8/1/1934,,
72,Beaver,Whitman,"Union, OR",6080,45.13715,118.16262,T5S_R37E_S10_WM,"La Grande Reservoir, OR",ARNST,9/29/1935,,
73,Beaver Bu,Mt. Hood,"Wasco, OR",5066,45.059505,121.587473,T6S_R10E_S7_WM,"Beaver Butte, OR",BIRCHALL,10/11/1933,,
74,Beaver So,Siuslaw,"Lincoln, OR",518,44.480735,124.044942,T13S_R11W_S32_WM,"Waldport, OR",_,5/29/1937,,
75,Beckler Pk,Snoqualmie,"King, WA",5062,47.73625,121.289572,T26N_R12E_S20_WM,"Skykomish, WA",R.L.C.,8/16/1934,,
76,Bedford Pt,Mt. Hood,"Clackamas, OR",2357,45.220255,122.178625,T4S_R5E_S15_WM,"Bedford Point, OR",SNYDER,10/26/1933,,
77,Beehive,Wenatchee,"Chelan, WA",4580,47.33113,120.391362,T21N_R19E_S12_WM,"Mission Peak, WA",A.I.A,8/18/1934,,
78,Bell Mtn,Siuslaw,"Tillamook, OR",2602,45.23504,123.512139,T4S_R7W_S11_WM,"Springer Mountain, OR",_,9/18/1936,,
79,Bell Mtn,Siuslaw,"Douglas, OR",1768,43.61562,123.495797,T22S_R7W_S35_WM,"Yellow Butte, OR",RITTENHOUSE,6/10/1934,,
80,Benchmark,Snoqualmie,"Snohomish, WA",5816,47.92431,121.202573,T28N_R12E_S12_WM,"Benchmark Mountain, WA",G.B.C.,8/24/1934,,
81,"Bend Mtn., Big",Mt. Hood,"Multnomah, OR",4017,45.48294,121.953334,T1S_R7E_S16_WM,"Hickman Butte, OR",RITTENHOUSE,10/20/1934,,
82,Bennet,Whitman,"Baker, OR",7099,45.03837,117.395537,T6S_R43E_S13_WM,"Bennet Peak, OR",ARNST,9/10/1935,,
83,Benson L.O.,Tillamook Burn,"Columbia, OR",1850,46.039445,123.210413,T7N_R4W_S32_WM,"Clatskanie, OR",S.L.M.,6/26/1936,,
84,Bessie Rk,Rogue River,"Jackson, OR",5953,42.764475,122.326045,T32S_R4E_S27_WM,"Red Blanket Mountain, OR",N.C.W.,4/17/1930,,
85,Bethel Rg,Snoqualmie,"Yakima, WA",6160,46.715328,121.105767,T14N_R14E_S8_WM,"Nile, WA",CLISBY,7/31/1936,,
86,Big Bu,Umatilla,"Asotin, WA",5010,46.115285,117.249274,T7N_R44E_S1_WM,"Fields Spring, WA",ARNST,8/7/1935,,
87,Big Cr,Wenatchee,"Kittitas, WA",5405,47.153825,121.280381,T19N_R12E_S12_WM,"Blowout Mountain, WA",J.D.R.,8/14/1934,,
88,Big Hill,Chelan,"Chelan, WA",6827,48.015485,120.491742,T29N_R19E_S17_WM,"Big Goat Mountain, WA",R.R.S.,9/10/1934,,
89,Big Hole Bu,Deschutes,"Lake, OR",5122,43.431095,121.293147,T25S_R12E_S5_WM,"Big Hole, OR",MOE,6/22/1933,,
90,Big Rks,Malheur,"Grant, OR",6020,44.599199,118.901987,T11S_R32E_S19_WM,"Canyon Mountain, OR",OSBORNE,9/18/1935,,
91,Big Squaw,Umpqua,"Douglas, OR",4878,43.141005,122.773857,T28S_R1W_S13_WM,"Taft Mountain, OR",MOE-BIRCHALL,8/12/1933,,
92,Bird Mtn,Gifford Pinchot,"Skamania, WA",5706,46.039265,121.780996,T6N_R8E_S3_WM,"Lone Butte, WA",_,9/16/1937,,
93,Black Bu,Malheur,"Grant, OR",6235,44.54003,119.138447,T12S_R30E_S8_WM,"Belshaw Meadows, OR",OSBORNE,9/16/1935,,
